Accident_Index,Location_Easting,Location_Northing,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_District,Local_Authority_Highway,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Date_Time
2018950000067,303183.0,667067.0,-3.549433,55.886973,95,3,2,1,3,940,S12000040,4,7015,6,30,3,4,6,0,0,0,1,3,3,0,0,1,1,,2018-01-16 08:03:00
2018950000068,326810.0,674470.0,-3.1738150000000003,55.957646,95,2,2,1,2,923,S12000036,3,1,6,20,3,4,6,0,0,0,4,2,2,0,0,1,1,,2018-01-15 16:40:00
2018950000069,313031.0,654031.0,-3.387868,55.771762,95,3,2,1,3,914,S12000026,3,72,6,60,3,4,3,72,0,0,1,3,3,0,0,2,1,,2018-01-16 13:00:00
2018950000070,325310.0,674120.0,-3.197736,55.954271,95,2,2,1,3,923,S12000036,5,0,6,20,3,4,6,0,0,0,4,3,2,0,0,1,1,,2018-01-16 17:50:00
2018950000071,305862.0,672778.0,-3.5086129999999995,55.938798,95,3,2,1,2,940,S12000040,4,8046,6,60,0,-1,-1,0,0,0,5,3,2,0,0,2,1,,2018-01-15 21:19:00
2018950000072,297703.0,668994.0,-3.6377330000000003,55.903144999999995,95,3,1,1,3,940,S12000040,4,792,6,30,0,-1,-1,0,0,0,4,3,3,0,0,1,1,,2018-01-16 03:20:00
2018950000073,301353.0,668255.0,-3.579111,55.897270999999996,95,3,2,1,2,940,S12000040,6,0,6,30,0,-1,-1,0,0,0,1,6,2,0,0,1,2,,2018-01-15 13:30:00
2018950000074,325060.0,675220.0,-3.202044,55.964113,95,3,1,1,4,923,S12000036,4,901,6,20,3,4,6,0,0,0,1,1,2,0,0,1,1,,2018-01-17 14:25:00
2018950000075,332350.0,636339.0,-3.0756200000000002,55.61591800000001,95,3,2,2,3,914,S12000026,3,72,6,60,0,-1,-1,0,0,0,1,6,3,0,0,1,1,,2018-01-16 14:30:00
2018950000077,340947.0,672621.0,-2.947027,55.942985,95,3,1,1,4,921,S12000010,3,199,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,2,,2018-01-17 16:00:00
2018950000078,313200.0,677450.0,-3.3926879999999997,55.98214399999999,95,3,2,1,5,923,S12000036,6,0,6,20,3,4,6,0,0,0,1,1,2,0,0,1,1,,2018-01-18 08:27:00
2018950000079,336316.0,671235.0,-3.0208310000000003,55.929942000000004,95,3,2,1,4,921,S12000010,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,2,2,,2018-01-17 17:05:00
2018950000080,323860.0,669470.0,-3.219637,55.912274,95,2,2,1,3,923,S12000036,6,0,6,20,3,4,6,0,0,0,4,3,3,0,0,1,2,,2018-01-16 18:15:00
2018950000081,326100.0,676290.0,-3.185683,55.973884999999996,95,3,1,1,5,923,S12000036,6,0,6,20,6,4,6,0,0,0,4,1,2,0,0,1,1,,2018-01-18 18:15:00
2018950000082,304100.0,663209.0,-3.533413,55.85250500000001,95,3,1,1,3,940,S12000040,6,0,6,60,0,-1,-1,0,0,0,6,3,3,0,0,2,1,,2018-01-16 08:30:00
2018950000083,364007.0,623604.0,-2.571392,55.504875,95,3,2,1,5,914,S12000026,3,68,6,60,3,4,3,698,0,0,4,1,4,0,0,2,1,,2018-01-18 06:45:00
2018950000084,338363.0,672714.0,-2.988412,55.943495999999996,95,3,1,1,5,921,S12000010,3,1,3,70,5,2,3,199,0,0,1,1,1,0,0,2,1,,2018-01-18 14:00:00
2018950000087,306029.0,676858.0,-3.507365,55.975476,95,2,1,1,2,940,S12000040,4,8046,6,60,0,-1,-1,0,0,0,6,2,2,0,0,2,1,,2018-12-11 20:45:00
2018950000088,293739.0,665439.0,-3.699707,55.87035899999999,95,2,1,1,6,940,S12000040,1,8,7,70,5,4,4,7069,0,0,6,3,3,0,0,2,1,,2018-01-19 21:57:00
2018950000089,334514.0,665793.0,-3.048345,55.880812,95,2,5,2,6,929,S12000019,6,0,6,40,3,4,6,0,0,0,1,1,2,0,0,1,1,,2018-01-19 13:10:00
2018950000090,324080.0,673190.0,-3.217166,55.945725,95,3,1,1,1,923,S12000036,6,0,6,20,7,2,3,8,0,5,4,8,4,0,0,1,1,,2018-01-21 05:25:00
2018950000091,325540.0,674900.0,-3.194269,55.961313,95,2,1,1,2,923,S12000036,4,901,6,20,9,2,6,0,0,5,4,1,2,0,0,1,1,,2018-01-22 00:35:00
2018950000092,312743.0,670916.0,-3.3978919999999997,55.923372,95,3,2,1,1,923,S12000036,6,0,6,60,3,4,6,0,0,0,1,3,3,0,0,2,1,,2018-01-21 13:30:00
